ax,ay,az,gx,gy,gz
-1764.0,-26860.0,18364.0,7537.0,4127.0,11223.0
-2356.0,-16724.0,12324.0,24375.0,10482.0,23155.0
-2108.0,-6736.0,10824.0,27479.0,3222.0,29237.0
-4440.0,-16.0,9792.0,27037.0,3866.0,30088.0
-5580.0,6984.0,8916.0,28190.0,-7004.0,22166.0
-3636.0,18608.0,12328.0,15420.0,-4414.0,15543.0
-2752.0,28344.0,14288.0,3177.0,-4999.0,-10370.0
-3204.0,19080.0,11272.0,-19968.0,-8715.0,-23063.0
-3084.0,9080.0,7836.0,-32768.0,-7285.0,-29219.0
1400.0,-2084.0,11156.0,-32768.0,-5645.0,-32660.0
4100.0,-14624.0,11456.0,-32768.0,-14257.0,-30223.0
-868.0,-32768.0,18468.0,-19772.0,-5987.0,-8594.0
-2512.0,-32232.0,16336.0,18927.0,16430.0,19194.0
1064.0,-14504.0,12664.0,25995.0,8615.0,30959.0
-752.0,-3980.0,7464.0,32767.0,1554.0,32767.0
24.0,3808.0,8948.0,30913.0,-252.0,32767.0
-3168.0,21300.0,9424.0,21420.0,-6747.0,21025.0
-1576.0,25272.0,13672.0,8441.0,-353.0,4000.0
-536.0,24912.0,13968.0,-9602.0,-3419.0,-14742.0
-620.0,16272.0,10040.0,-30678.0,-4110.0,-32768.0
-52.0,1648.0,6576.0,-32768.0,-8588.0,-32768.0
3836.0,-7844.0,13808.0,-32768.0,-10844.0,-31752.0
1472.0,-30240.0,17856.0,-32768.0,-14259.0,-12741.0
-368.0,-28500.0,18524.0,10232.0,5362.0,-1364.0
-412.0,-17532.0,16188.0,17374.0,10594.0,19079.0
2140.0,-11428.0,17048.0,23725.0,10513.0,32767.0
-1152.0,-444.0,8772.0,30102.0,7334.0,32767.0
-548.0,6140.0,11956.0,19275.0,1665.0,32767.0
-1896.0,20044.0,13764.0,16991.0,1410.0,16932.0
-2268.0,22236.0,14164.0,2211.0,-1462.0,-590.0
-1576.0,23380.0,14104.0,-10029.0,-3696.0,-22829.0
-2008.0,10372.0,9152.0,-24859.0,-5518.0,-32768.0
-552.0,588.0,9888.0,-25366.0,-13116.0,-32768.0
6460.0,-12856.0,21712.0,-32768.0,-11388.0,-23951.0
-1752.0,-24968.0,18400.0,-6151.0,-3278.0,-18958.0
-3168.0,-23332.0,17588.0,5369.0,7423.0,9079.0
-444.0,-15016.0,19532.0,13551.0,16651.0,27387.0
-1028.0,-6832.0,13992.0,25726.0,5381.0,32767.0
-3016.0,5096.0,7808.0,18629.0,3447.0,32767.0
-2920.0,13320.0,11648.0,20103.0,-3261.0,24948.0
-2476.0,25500.0,13728.0,4762.0,-5025.0,5666.0
-1404.0,22736.0,12692.0,-9987.0,-11651.0,-20022.0
-552.0,12520.0,12460.0,-17420.0,-9516.0,-30857.0
2204.0,2116.0,12816.0,-30131.0,-11793.0,-32768.0
1240.0,-9776.0,14588.0,-31668.0,-6876.0,-23266.0
2932.0,-19080.0,21480.0,-19122.0,-8619.0,-14126.0
680.0,-20188.0,22072.0,-3939.0,-579.0,2616.0
716.0,-17460.0,20792.0,13921.0,17277.0,21352.0
2248.0,-8620.0,17368.0,18087.0,14591.0,32767.0
-1324.0,3320.0,10716.0,19039.0,9605.0,32767.0
-2616.0,8660.0,11992.0,15068.0,8711.0,29652.0
-4760.0,20840.0,10728.0,10884.0,986.0,13032.0
-3944.0,27668.0,14148.0,-1140.0,1401.0,-10053.0
-2988.0,18004.0,8904.0,-19891.0,-16024.0,-32768.0
-1552.0,1688.0,9972.0,-28173.0,-11412.0,-32768.0
4592.0,-5852.0,15812.0,-31409.0,-11080.0,-32768.0
2584.0,-23080.0,18268.0,-27778.0,-13684.0,-22162.0
-2124.0,-29384.0,20252.0,-6093.0,1068.0,5584.0
960.0,-20340.0,16364.0,20251.0,7216.0,27318.0
644.0,-7112.0,14856.0,20251.0,2087.0,32346.0
2620.0,-308.0,12996.0,22006.0,-1493.0,32767.0
-1084.0,16932.0,14172.0,14343.0,2517.0,16708.0
-3268.0,22952.0,12768.0,-5023.0,-2860.0,-2595.0
-2592.0,22728.0,15288.0,-30486.0,-9544.0,-32768.0
7492.0,-11080.0,15656.0,-32768.0,-29317.0,-32768.0
5636.0,-23904.0,20064.0,-28551.0,-11386.0,-22751.0
1032.0,-32768.0,19964.0,-448.0,5200.0,6250.0
3268.0,-18612.0,17340.0,20113.0,7964.0,20300.0
2476.0,-9652.0,11300.0,32767.0,10069.0,23366.0
5048.0,2620.0,13332.0,31137.0,18881.0,28033.0
-3252.0,17044.0,9816.0,12409.0,12805.0,15612.0
-3440.0,14672.0,15928.0,-4270.0,7352.0,2304.0
-5748.0,14104.0,13444.0,-4521.0,-2410.0,-19139.0
-2796.0,3756.0,16268.0,-16857.0,-85.0,-24433.0
-4028.0,-5964.0,17464.0,-22113.0,-2320.0,-20500.0
-7344.0,-15456.0,18524.0,-10124.0,2538.0,-3317.0
-5752.0,-13396.0,18992.0,-5711.0,7379.0,8971.0
-8520.0,-12792.0,14868.0,7550.0,1856.0,13471.0
-7168.0,-7648.0,14440.0,12833.0,-2588.0,21591.0
-5932.0,-636.0,11748.0,20977.0,-8770.0,21395.0
-2296.0,9416.0,14924.0,13083.0,-10644.0,20609.0
-352.0,19276.0,17212.0,10905.0,-4678.0,3062.0
-1192.0,20176.0,15748.0,-5632.0,-1634.0,-14326.0
-1516.0,11108.0,14416.0,-16375.0,-4918.0,-26161.0
-552.0,912.0,16984.0,-23495.0,2090.0,-22980.0
-5520.0,-8588.0,13596.0,-24437.0,-4272.0,-18557.0
-4372.0,-16336.0,19312.0,-7512.0,-1552.0,-9545.0
-6136.0,-20624.0,20888.0,3913.0,6741.0,10139.0
-6176.0,-10332.0,14960.0,19131.0,5547.0,18581.0
-4752.0,-3880.0,13152.0,21303.0,-865.0,25560.0
-1944.0,6652.0,10700.0,20188.0,-7457.0,27012.0
1148.0,16868.0,14444.0,13321.0,-5008.0,17339.0
1732.0,24652.0,16296.0,1463.0,3604.0,-2003.0
-660.0,19676.0,12528.0,-11993.0,-2858.0,-19085.0
-2400.0,9840.0,9896.0,-21943.0,-8178.0,-30061.0
2604.0,-5896.0,18236.0,-31203.0,-4454.0,-22389.0
-7504.0,-26204.0,22300.0,-16217.0,13339.0,4539.0
-7844.0,-15924.0,17916.0,3956.0,11096.0,23552.0
-5728.0,-5320.0,13076.0,13501.0,-2252.0,26783.0
-1500.0,5952.0,10516.0,20197.0,-10220.0,28070.0
-352.0,26868.0,12176.0,16579.0,-5785.0,6380.0
-20.0,24052.0,13540.0,-2010.0,-4943.0,-11279.0
240.0,18840.0,10388.0,-17585.0,-8307.0,-31554.0
5960.0,-2928.0,19612.0,-31489.0,-13223.0,-29106.0
-4992.0,-10880.0,12536.0,-26384.0,-628.0,-22268.0
-5768.0,-25652.0,22424.0,-6770.0,6048.0,1247.0
-4676.0,-13984.0,18884.0,15990.0,2176.0,9116.0
-3984.0,-5652.0,16576.0,19990.0,9452.0,21570.0
-1152.0,2600.0,12936.0,22145.0,-1657.0,25506.0
-1468.0,15336.0,12116.0,16016.0,-5825.0,18529.0
412.0,21704.0,15536.0,1123.0,4293.0,4858.0
-160.0,20304.0,14376.0,-11645.0,-18.0,-14767.0
72.0,12580.0,11696.0,-23958.0,-7257.0,-32300.0
-896.0,-7616.0,16512.0,-29107.0,-2430.0,-23646.0
-724.0,-18568.0,24736.0,-19394.0,-1106.0,-8607.0
-8056.0,-18992.0,17544.0,4580.0,4292.0,4113.0
-6156.0,-10352.0,16660.0,13366.0,11554.0,21075.0
-3168.0,-1360.0,16284.0,17505.0,-2374.0,22216.0
-3008.0,8580.0,12256.0,14309.0,-3253.0,22137.0
-896.0,14704.0,15788.0,10915.0,-3023.0,11274.0
16.0,19876.0,15844.0,1091.0,-7144.0,-5487.0
-84.0,18884.0,13120.0,-13732.0,-7275.0,-20114.0
1432.0,5684.0,13184.0,-27208.0,-5535.0,-28701.0
560.0,-6140.0,17020.0,-27100.0,-2471.0,-24161.0
-3684.0,-18812.0,20024.0,-17903.0,-2313.0,-8321.0
