ax,ay,az,gx,gy,gz
-11912.0,-7800.0,-12772.0,-17538.0,32767.0,-3000.0
-12396.0,-7252.0,-9356.0,10041.0,588.0,-458.0
-10812.0,-5160.0,-5012.0,-2075.0,-31199.0,-3866.0
-12720.0,-11864.0,1448.0,16542.0,-32768.0,11749.0
2880.0,128.0,5844.0,21981.0,-32768.0,16626.0
24156.0,8372.0,13444.0,26988.0,-32768.0,13552.0
32767.0,24500.0,17700.0,-754.0,-16365.0,3196.0
32596.0,10116.0,32767.0,-13326.0,18991.0,-8610.0
17932.0,6812.0,23516.0,-20643.0,32767.0,-19668.0
4504.0,-572.0,9264.0,-19442.0,32767.0,-21561.0
-7896.0,-5564.0,-3020.0,-19611.0,32767.0,-11157.0
-10780.0,-6660.0,-1492.0,4143.0,19730.0,-3800.0
-10380.0,-5844.0,-7116.0,-2325.0,-13352.0,-5196.0
-14760.0,-14600.0,2104.0,10720.0,-32768.0,6379.0
-5548.0,-6424.0,6148.0,19219.0,-32768.0,26022.0
6668.0,656.0,3004.0,31400.0,-32768.0,26936.0
32767.0,16156.0,20596.0,13710.0,-32768.0,15900.0
32767.0,29684.0,22916.0,-17703.0,12905.0,534.0
22180.0,8880.0,24092.0,-21326.0,32767.0,-15288.0
10100.0,80.0,24552.0,-19175.0,32767.0,-20177.0
2144.0,-664.0,5960.0,-17197.0,32767.0,-20247.0
-10936.0,-7900.0,-7612.0,-17970.0,32767.0,-11424.0
-11292.0,-9236.0,20.0,-1640.0,16461.0,-5601.0
-11228.0,-8608.0,-4180.0,1034.0,-23249.0,-1692.0
-10496.0,-12144.0,3968.0,12725.0,-32768.0,11171.0
-1116.0,-6708.0,9600.0,26389.0,-32768.0,21880.0
17152.0,7348.0,16028.0,22506.0,-32768.0,30477.0
27444.0,17256.0,17732.0,18675.0,-32768.0,5301.0
32767.0,20868.0,24592.0,-15887.0,22287.0,4466.0
18580.0,9296.0,22516.0,-10545.0,25499.0,-18433.0
11036.0,3016.0,18612.0,-18017.0,32767.0,-20991.0
504.0,-1272.0,9240.0,-17145.0,32767.0,-23152.0
-10048.0,-5720.0,792.0,-15093.0,32767.0,-17169.0
-11960.0,-8840.0,3408.0,-7064.0,20630.0,-9174.0
-13420.0,-10652.0,-3876.0,-27.0,-14683.0,2292.0
-10892.0,-9820.0,8468.0,5329.0,-32768.0,11802.0
-9844.0,-8436.0,7156.0,17208.0,-32768.0,19246.0
4272.0,-1284.0,14132.0,31271.0,-32768.0,27434.0
17192.0,12664.0,10696.0,19418.0,-32768.0,24666.0
24000.0,11116.0,21544.0,12208.0,-18902.0,6871.0
29364.0,18724.0,22672.0,-15676.0,25561.0,-36.0
16416.0,9944.0,21140.0,-15112.0,32297.0,-18363.0
7088.0,1092.0,19712.0,-19005.0,32767.0,-16458.0
68.0,52.0,10208.0,-16475.0,32767.0,-16037.0
-6884.0,-2852.0,2796.0,-17957.0,32767.0,-13627.0
-13548.0,-7624.0,2048.0,-10859.0,23286.0,-11566.0
-13892.0,-7900.0,1140.0,-1765.0,-3623.0,-3093.0
-14208.0,-9072.0,3228.0,9045.0,-32768.0,6525.0
-11052.0,-8444.0,8020.0,21255.0,-32768.0,15954.0
-736.0,-2044.0,13812.0,31283.0,-32768.0,22536.0
17060.0,11836.0,20536.0,17824.0,-32519.0,24469.0
22836.0,20100.0,22784.0,-1004.0,-2554.0,5142.0
18060.0,12952.0,24780.0,-12457.0,27398.0,-12257.0
5932.0,6332.0,18760.0,-16903.0,32767.0,-23045.0
-3552.0,-2192.0,12760.0,-19082.0,32767.0,-18403.0
-8404.0,-4204.0,6328.0,-10563.0,32767.0,-13815.0
-11884.0,-5848.0,1552.0,-12658.0,16997.0,-6553.0
-13008.0,-6048.0,2476.0,2976.0,-7910.0,-3780.0
-13464.0,-7152.0,4532.0,941.0,-32768.0,7245.0
-7628.0,-6168.0,15116.0,24301.0,-32768.0,15831.0
9668.0,5864.0,25676.0,13846.0,-32768.0,19046.0
12660.0,9828.0,21428.0,16762.0,-32363.0,4093.0
14440.0,9732.0,23436.0,-3766.0,8577.0,4473.0
12636.0,9452.0,23144.0,-2853.0,26875.0,-6091.0
2184.0,3700.0,14092.0,-12553.0,32767.0,-8327.0
-4408.0,-460.0,13224.0,-2239.0,27813.0,-5557.0
-8684.0,876.0,3936.0,-2391.0,16712.0,-3160.0
-7924.0,-1148.0,9816.0,-2216.0,2887.0,979.0
-5448.0,3132.0,9660.0,-2744.0,-4720.0,788.0
-8708.0,-668.0,19920.0,-3033.0,-15049.0,2497.0
-6660.0,5276.0,24176.0,-1769.0,-22631.0,-675.0
-6992.0,2944.0,29308.0,-1869.0,-19443.0,-3314.0
-860.0,2020.0,26460.0,3952.0,-9714.0,-2544.0
5164.0,4064.0,21212.0,1236.0,11223.0,-441.0
232.0,344.0,11748.0,-4296.0,15082.0,-1174.0
-1848.0,-2344.0,8588.0,-870.0,6900.0,1088.0
964.0,588.0,8064.0,-2929.0,642.0,-877.0
1056.0,44.0,9868.0,-727.0,-9725.0,4192.0
1568.0,4588.0,17236.0,-2457.0,-10159.0,2982.0
-3768.0,5324.0,26104.0,-1767.0,-8845.0,4869.0
-7604.0,1880.0,32767.0,-242.0,-11402.0,-1105.0
1156.0,4264.0,32767.0,-2756.0,7143.0,-8593.0
1192.0,1644.0,24132.0,2113.0,16062.0,-3623.0
2764.0,3496.0,15072.0,4024.0,22910.0,2394.0
424.0,2752.0,9396.0,-522.0,19474.0,-489.0
-5592.0,-868.0,6340.0,-1839.0,8619.0,1064.0
-6088.0,-704.0,4656.0,-4168.0,-82.0,-3799.0
-3264.0,-1332.0,9964.0,-5117.0,-14566.0,-3918.0
-2256.0,-2100.0,14760.0,-3429.0,-22427.0,-1657.0
748.0,1004.0,20736.0,-1905.0,-10775.0,3686.0
-700.0,4868.0,25092.0,4024.0,-11576.0,9052.0
-2184.0,7692.0,32264.0,-826.0,-7182.0,3044.0
-2556.0,5520.0,32767.0,-1556.0,1491.0,-4457.0
-856.0,2436.0,25116.0,-969.0,6211.0,-7286.0
252.0,536.0,19588.0,3600.0,13527.0,721.0
-48.0,1580.0,13500.0,5213.0,14025.0,4396.0
-972.0,1472.0,10728.0,2733.0,11591.0,4396.0
-2560.0,1392.0,8756.0,-1229.0,4083.0,129.0
-1908.0,1104.0,9112.0,-3621.0,-6789.0,-4444.0
-880.0,1472.0,11812.0,-7411.0,-11127.0,-4054.0
132.0,1556.0,17068.0,-5547.0,-11729.0,-2564.0
-832.0,4044.0,21968.0,-3084.0,-12866.0,-109.0
-2360.0,4576.0,26736.0,331.0,-13312.0,-462.0
-3372.0,-236.0,32767.0,-1859.0,-2347.0,-532.0
652.0,844.0,32767.0,295.0,8990.0,-1005.0
1440.0,1044.0,25000.0,5150.0,23286.0,5952.0
1240.0,4988.0,16468.0,9643.0,28369.0,10226.0
-668.0,7856.0,5688.0,3250.0,20397.0,4135.0
-4348.0,1144.0,7732.0,-5778.0,7709.0,-10357.0
-5024.0,2204.0,4340.0,-7060.0,-11131.0,-11845.0
-6056.0,-3888.0,10788.0,-12627.0,-15425.0,-9740.0
-3400.0,-3820.0,14868.0,-2602.0,-18269.0,-2358.0
-160.0,2372.0,16744.0,-1573.0,-13701.0,3248.0
-1904.0,2516.0,21408.0,1306.0,-18650.0,3598.0
-384.0,2396.0,31056.0,1840.0,-13992.0,5252.0
56.0,4220.0,32767.0,-2172.0,3534.0,1678.0
-1536.0,2204.0,29596.0,-601.0,10644.0,-2845.0
-984.0,1460.0,22904.0,2660.0,16826.0,1477.0
1940.0,2836.0,17464.0,8123.0,20837.0,5079.0
552.0,4524.0,8020.0,5009.0,18768.0,175.0
-5208.0,676.0,5220.0,-4462.0,6751.0,-3206.0
-5188.0,440.0,4480.0,-3814.0,-12065.0,-9190.0
-3784.0,-2456.0,11956.0,-6531.0,-22307.0,-7318.0
-1112.0,284.0,16428.0,-3202.0,-23012.0,-137.0
1008.0,648.0,23012.0,31.0,-20357.0,3490.0
2896.0,2284.0,32420.0,1756.0,-14981.0,5943.0
4228.0,4760.0,32767.0,5290.0,279.0,2539.0
9184.0,7396.0,30504.0,-1764.0,20484.0,-3990.0
3592.0,3424.0,18308.0,-1018.0,32767.0,-5675.0
-1752.0,608.0,10904.0,811.0,32767.0,-1796.0
-6900.0,544.0,5496.0,760.0,26879.0,-1234.0
-10928.0,1264.0,-2576.0,-9298.0,-9111.0,-519.0
-7148.0,-1532.0,4476.0,-1938.0,-32768.0,-11224.0
1784.0,-916.0,14040.0,-403.0,-32768.0,-3930.0
4724.0,-212.0,21748.0,-2788.0,-29078.0,5838.0
7172.0,4388.0,26432.0,6301.0,-31635.0,9418.0
8860.0,5100.0,32767.0,4262.0,-5802.0,2511.0
9528.0,6516.0,31612.0,-4418.0,19386.0,-4398.0
5028.0,756.0,25048.0,-4504.0,28090.0,-5736.0
4480.0,880.0,19060.0,2227.0,32767.0,306.0
-3112.0,2036.0,5124.0,-1324.0,32767.0,645.0
-10972.0,-3120.0,4188.0,-726.0,14646.0,6303.0
-7656.0,1496.0,3480.0,141.0,-4136.0,-252.0
-7292.0,-1584.0,8140.0,-2173.0,-21681.0,-4716.0
-996.0,2304.0,11912.0,-452.0,-28659.0,-2544.0
920.0,324.0,18212.0,-3463.0,-17958.0,4413.0
568.0,2940.0,27524.0,326.0,-13156.0,7179.0
-1732.0,8300.0,30204.0,-592.0,-6367.0,3628.0
-5188.0,4064.0,31336.0,-1987.0,-776.0,-6846.0
-4060.0,1548.0,28328.0,-6261.0,3859.0,-9629.0
564.0,520.0,22628.0,2026.0,5636.0,-5754.0
3052.0,2732.0,16504.0,1201.0,12479.0,-632.0
660.0,364.0,11900.0,-41.0,14496.0,3065.0
-2772.0,-1832.0,11772.0,0.0,10903.0,3737.0
-3000.0,760.0,8344.0,-145.0,1711.0,1023.0
-1708.0,608.0,9132.0,-4899.0,-9088.0,-5045.0
-1276.0,1104.0,11728.0,-7872.0,-16831.0,-5103.0
-868.0,-1388.0,20048.0,-4848.0,-15674.0,-1357.0
12.0,2536.0,25732.0,-2721.0,-8573.0,2253.0
-5180.0,508.0,32380.0,-528.0,-6346.0,2814.0
-3712.0,1032.0,32767.0,531.0,2212.0,-1438.0
-24.0,1772.0,27656.0,1445.0,11667.0,-2003.0
920.0,2732.0,18532.0,5866.0,14015.0,1564.0
660.0,2120.0,13688.0,5500.0,11836.0,993.0
-668.0,1212.0,10440.0,1115.0,11012.0,845.0
-3072.0,-724.0,8872.0,-1972.0,4406.0,-830.0
-3512.0,-1016.0,8268.0,-3467.0,-5306.0,-4263.0
-2508.0,-2552.0,11808.0,-7420.0,-11624.0,-2741.0
-328.0,-708.0,14904.0,-6229.0,-15710.0,-2178.0
-656.0,-1600.0,21320.0,-2041.0,-13210.0,2216.0
-788.0,3804.0,27084.0,-495.0,-9547.0,7586.0
-2672.0,3508.0,32767.0,-1169.0,-5617.0,3260.0
-1152.0,1900.0,32767.0,-1154.0,5000.0,-5249.0
-44.0,-160.0,25756.0,635.0,13954.0,-3219.0
3020.0,2128.0,19076.0,7999.0,20304.0,3613.0
3088.0,3040.0,12676.0,9560.0,21361.0,4089.0
-3060.0,2636.0,5992.0,-543.0,14986.0,741.0
-6588.0,-772.0,6088.0,-7608.0,3043.0,-10126.0
-6380.0,-2088.0,7472.0,-12616.0,-11196.0,-13865.0
-5096.0,-6540.0,14088.0,-10953.0,-15264.0,-6733.0
-1032.0,-2468.0,16728.0,-2541.0,-16396.0,386.0
-1968.0,-1204.0,20748.0,2260.0,-11749.0,7530.0
-640.0,2728.0,25664.0,5222.0,-13766.0,9322.0
-1848.0,2468.0,32284.0,-668.0,-3322.0,1303.0
-4096.0,356.0,30680.0,-1996.0,2883.0,-3360.0
-3308.0,-504.0,25920.0,-163.0,8365.0,-3539.0
-204.0,1080.0,21276.0,6611.0,8822.0,1437.0
2568.0,3356.0,16340.0,7255.0,11807.0,2232.0
-788.0,468.0,12152.0,2954.0,12738.0,2959.0
-2708.0,604.0,9136.0,-2021.0,6250.0,237.0
-4364.0,-1004.0,8608.0,-3849.0,-4037.0,-2070.0
-3140.0,-1172.0,10848.0,-6627.0,-9259.0,-3903.0
-2176.0,-1660.0,14444.0,-4773.0,-11757.0,567.0
976.0,956.0,18980.0,-4950.0,-11712.0,116.0
-1412.0,1816.0,24192.0,-1668.0,-9587.0,6223.0
-4060.0,1192.0,31452.0,-898.0,-7629.0,3568.0
-3744.0,1240.0,32300.0,498.0,-492.0,-1600.0
