ax,ay,az,gx,gy,gz
19864.0,4484.0,20752.0,-346.0,15017.0,-6081.0
9572.0,3044.0,21932.0,-952.0,32767.0,7379.0
4220.0,-72.0,24492.0,6236.0,32767.0,13567.0
-7644.0,12560.0,2872.0,-6043.0,32767.0,6884.0
-18880.0,-456.0,17264.0,-18860.0,32767.0,199.0
-16644.0,3036.0,180.0,-8465.0,32767.0,-4582.0
-18380.0,-3924.0,-3112.0,-8207.0,31359.0,-8146.0
-14940.0,-1024.0,-8988.0,2702.0,1166.0,-9179.0
-17832.0,-7912.0,-360.0,2787.0,-32768.0,-8589.0
-16316.0,-8712.0,-2716.0,14428.0,-32768.0,527.0
3556.0,-88.0,7732.0,12013.0,-32768.0,-277.0
8660.0,896.0,8324.0,10919.0,-32768.0,-7447.0
16072.0,1716.0,13648.0,5536.0,-32768.0,-10028.0
21216.0,-444.0,15932.0,-15306.0,-32768.0,-2132.0
20680.0,1984.0,14052.0,-2216.0,-26242.0,-10484.0
19608.0,528.0,13244.0,-913.0,-18148.0,-1371.0
8324.0,3628.0,8544.0,3456.0,-1924.0,-465.0
17176.0,1848.0,17900.0,9465.0,12441.0,3597.0
12560.0,5260.0,11236.0,443.0,-3208.0,2415.0
12852.0,-744.0,17896.0,3902.0,140.0,3110.0
15728.0,972.0,22220.0,16527.0,30111.0,13682.0
5724.0,2720.0,11840.0,16097.0,31413.0,17854.0
7620.0,1364.0,28268.0,10820.0,32767.0,16004.0
-7748.0,5572.0,17816.0,7161.0,32767.0,-5401.0
-2232.0,5812.0,11000.0,9818.0,32767.0,-5576.0
-12388.0,5140.0,7240.0,245.0,19760.0,-14369.0
-13044.0,3976.0,8252.0,-5167.0,-7510.0,-13310.0
-14496.0,828.0,6076.0,-697.0,-32010.0,-15127.0
-996.0,1292.0,9452.0,-8292.0,-32768.0,-8598.0
3032.0,-2772.0,15552.0,6825.0,-32768.0,-12145.0
13636.0,1556.0,11760.0,-10992.0,-32768.0,-6433.0
17244.0,-2128.0,16564.0,-9233.0,-32768.0,-11812.0
20852.0,1984.0,8584.0,-9210.0,-25459.0,-3256.0
15724.0,-1328.0,10932.0,-5187.0,-16600.0,-8531.0
15880.0,-1420.0,13800.0,6338.0,-2613.0,765.0
14520.0,2772.0,8544.0,7557.0,-14134.0,2089.0
21396.0,3972.0,12728.0,12348.0,8378.0,-1001.0
18312.0,4572.0,13060.0,11979.0,10299.0,3203.0
18312.0,3276.0,20320.0,14062.0,15769.0,236.0
7432.0,3508.0,7816.0,14360.0,32767.0,18431.0
2408.0,3224.0,25632.0,8123.0,32767.0,18592.0
-64.0,5168.0,19956.0,1732.0,32767.0,326.0
-5532.0,2752.0,18504.0,5.0,18011.0,-9817.0
-10012.0,4016.0,9948.0,-8624.0,15731.0,-16019.0
-11076.0,2436.0,11308.0,7540.0,14338.0,-12246.0
-13036.0,1832.0,6748.0,-3603.0,-19090.0,-14712.0
-10276.0,-3024.0,10668.0,-1961.0,-29097.0,-9362.0
-1572.0,-812.0,12132.0,1180.0,-32768.0,-10498.0
7888.0,-2112.0,11936.0,-321.0,-32768.0,-6516.0
15120.0,1952.0,8956.0,1834.0,-32768.0,-7950.0
21736.0,-3464.0,11440.0,-21424.0,-32768.0,-7899.0
21040.0,-2292.0,10032.0,-7192.0,-26455.0,281.0
18800.0,-2388.0,8996.0,-6357.0,-15805.0,-2276.0
18644.0,-2360.0,11244.0,1920.0,-5152.0,3205.0
18776.0,116.0,10176.0,3823.0,2128.0,2951.0
19808.0,-5736.0,16508.0,32767.0,32767.0,-3009.0
22928.0,1980.0,15188.0,5745.0,5093.0,-1750.0
15336.0,2412.0,19532.0,1963.0,8688.0,-1805.0
15808.0,1444.0,13504.0,11735.0,32767.0,2477.0
9420.0,408.0,19228.0,-3180.0,22735.0,3826.0
8052.0,-1420.0,22804.0,-6153.0,32767.0,9030.0
-1024.0,-1332.0,17156.0,4869.0,32767.0,16039.0
-6916.0,3244.0,12924.0,7932.0,23669.0,517.0
-13616.0,1576.0,10476.0,-11048.0,11217.0,-8067.0
-12504.0,-3276.0,16152.0,3391.0,-4423.0,-11194.0
-9124.0,-172.0,12216.0,2249.0,-19815.0,-8820.0
-8296.0,-2612.0,14348.0,8468.0,-26381.0,-8092.0
-3092.0,-984.0,11716.0,-1847.0,-32768.0,-1669.0
6420.0,-636.0,10180.0,10867.0,-32768.0,-4355.0
23460.0,9540.0,5004.0,-7112.0,-32768.0,2930.0
20420.0,-2044.0,4764.0,-21351.0,-32294.0,-3344.0
20808.0,-156.0,8096.0,-7303.0,-19553.0,-2583.0
18148.0,-1036.0,5828.0,-8755.0,-13177.0,-4412.0
19468.0,-4124.0,11628.0,1195.0,-350.0,2683.0
17332.0,2412.0,6380.0,3486.0,-3796.0,-560.0
17444.0,864.0,11116.0,8545.0,5704.0,-5721.0
13012.0,4492.0,2708.0,4274.0,-169.0,690.0
19056.0,-1048.0,13128.0,4095.0,-2605.0,-8369.0
20572.0,972.0,9972.0,10454.0,14350.0,-1589.0
19960.0,996.0,15244.0,8159.0,32767.0,4021.0
15864.0,3692.0,14436.0,6199.0,31211.0,4596.0
12436.0,2288.0,15804.0,-7289.0,32767.0,17265.0
1392.0,1808.0,12392.0,257.0,32767.0,14712.0
-4324.0,-652.0,16512.0,9222.0,32767.0,2522.0
-9712.0,2808.0,12956.0,-1182.0,32767.0,-4651.0
-12568.0,2764.0,10608.0,-849.0,8366.0,-8284.0
-11944.0,700.0,7888.0,3826.0,-11317.0,-14503.0
-11284.0,-1100.0,7176.0,-4582.0,-32768.0,-7761.0
-272.0,-2132.0,6896.0,1562.0,-32768.0,-8828.0
7508.0,-608.0,9904.0,-1105.0,-32768.0,-12822.0
22528.0,-1920.0,14056.0,-4608.0,-32768.0,-1645.0
20576.0,-484.0,4832.0,-11858.0,-32768.0,-1790.0
24760.0,-3584.0,12552.0,-8754.0,-31250.0,-7756.0
