ax,ay,az,gx,gy,gz
-848.0,-1344.0,18408.0,-2952.0,14447.0,145.0
-6680.0,-1528.0,15416.0,-6221.0,13112.0,3164.0
-9232.0,-2380.0,14020.0,-2927.0,7069.0,1533.0
-10244.0,-516.0,14300.0,-4058.0,7500.0,2611.0
-13044.0,-4672.0,17148.0,-1332.0,2078.0,1005.0
-14296.0,-1824.0,12500.0,144.0,-1989.0,51.0
-12372.0,-2560.0,12248.0,2030.0,-6285.0,-1151.0
-8644.0,-1580.0,13448.0,6461.0,-11565.0,-2224.0
-1892.0,852.0,18600.0,2350.0,-18178.0,-2253.0
6120.0,-2800.0,21348.0,-1401.0,-13001.0,4807.0
7140.0,724.0,21384.0,2590.0,-2273.0,-5623.0
8236.0,-1616.0,23052.0,-4522.0,2942.0,2776.0
9600.0,-304.0,21960.0,-492.0,4901.0,-6111.0
3592.0,-876.0,20864.0,-4674.0,11717.0,512.0
-2628.0,-1440.0,18704.0,-4551.0,13512.0,-1688.0
-11704.0,-3036.0,11908.0,-8395.0,11670.0,2501.0
-12440.0,-2344.0,12676.0,-774.0,6455.0,-1796.0
-14356.0,-4152.0,12220.0,-5152.0,1473.0,275.0
-13176.0,-4992.0,15392.0,3545.0,-4112.0,-517.0
-10664.0,-1744.0,15420.0,860.0,-4086.0,2556.0
-6784.0,268.0,14896.0,-564.0,-11301.0,1426.0
-3732.0,-828.0,15072.0,2313.0,-14101.0,330.0
1716.0,-2024.0,17848.0,373.0,-12493.0,-810.0
7432.0,-3512.0,22908.0,-1019.0,-9290.0,4371.0
12596.0,-468.0,27016.0,-880.0,2253.0,-1801.0
7232.0,-3036.0,23860.0,-2911.0,8555.0,-3311.0
3756.0,20.0,19916.0,-1740.0,14519.0,-3027.0
-3284.0,-1000.0,15096.0,-5541.0,19885.0,-2680.0
-13424.0,-3748.0,9512.0,-6081.0,10272.0,-2294.0
-12788.0,-3032.0,11200.0,1271.0,-752.0,-6104.0
-12012.0,-5388.0,16676.0,-4837.0,1168.0,-1471.0
-13468.0,-6076.0,15104.0,1320.0,-1460.0,756.0
-11380.0,-3772.0,14236.0,2797.0,-5932.0,3194.0
-9360.0,-712.0,9244.0,6450.0,-19455.0,1185.0
-356.0,-1796.0,19652.0,4961.0,-10562.0,326.0
6060.0,-4.0,22672.0,-2852.0,-10879.0,4436.0
8364.0,1896.0,21556.0,2629.0,-5207.0,-1651.0
10132.0,-1604.0,25808.0,-3809.0,2935.0,-313.0
